Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/29/2024,12/30/2024,UDEMY: ONLINE COURSES,Education,Sale,-15.99,
12/29/2024,12/30/2024,SEPHORA.COM,Shopping,Sale,-50.42,
12/28/2024,12/29/2024,TARGET.COM  *,Shopping,Sale,-13.37,
12/28/2024,12/29/2024,TARGET.COM  *,Shopping,Return,0.10,
12/27/2024,12/29/2024,ALAMEDA COUNTY WATER,Bills & Utilities,Sale,-88.60,
12/25/2024,12/27/2024,AVACHI BRIYANI HOUSE,Food & Drink,Sale,-44.71,
12/26/2024,12/27/2024,Temu.com,Shopping,Sale,-35.16,
12/23/2024,12/23/2024,COMCAST CALIFORNIA,Bills & Utilities,Sale,-50.00,
12/21/2024,12/23/2024,TST*MYLAPORE - MILPITAS,Food & Drink,Sale,-57.33,
12/23/2024,12/23/2024,Amazon.com*Z929Y8UK0,Shopping,Sale,-25.00,
12/20/2024,12/22/2024,YMCA SILICON VALLEY-AO DR,Gifts & Donations,Sale,-131.00,
12/21/2024,12/22/2024,INDIA CASH &amp; CARRY,Groceries,Sale,-21.31,
12/20/2024,12/22/2024,AMC 0433 SARATOGA 14,Entertainment,Sale,-119.94,
12/21/2024,12/22/2024,Amazon.com*ZE5RB5LI2,Shopping,Sale,-50.00,
12/21/2024,12/22/2024,INDIA CASH &amp; CARRY,Groceries,Sale,-24.29,
12/21/2024,12/22/2024,SQ *HALAL MEATS DELI &amp; GR,Food & Drink,Sale,-13.11,
12/20/2024,12/22/2024,PROMISEPAY* SJWATER,Bills & Utilities,Sale,-53.00,
12/20/2024,12/20/2024,AUTOMATIC PAYMENT - THANK,,Payment,3683.25,
12/18/2024,12/20/2024,Rancho Park Compounding P,Health & Wellness,Sale,-46.00,
12/18/2024,12/18/2024,LinkedInPreA *28753916,Bills & Utilities,Sale,-39.99,
12/15/2024,12/16/2024,COSTCO GAS #1660,Gas,Sale,-54.58,
12/13/2024,12/15/2024,INDIA CASH &amp; CARRY,Groceries,Sale,-17.49,
12/13/2024,12/15/2024,INDIA CASH &amp; CARRY,Groceries,Sale,-38.84,
12/10/2024,12/12/2024,TST*MYLAPORE - WESTGATE,Food & Drink,Sale,-35.01,
11/13/2024,12/11/2024,Temu.com,Shopping,Return,11.65,
12/10/2024,12/10/2024,AMAZON MKTPLACE PMTS,Shopping,Return,17.61,
12/06/2024,12/08/2024,AMAZON MKTPLACE PMTS,Shopping,Return,49.05,
12/06/2024,12/08/2024,BOTTLE SHOP,Groceries,Sale,-14.94,
12/05/2024,12/06/2024,AMAZON MKTPLACE PMTS,Shopping,Return,121.74,
11/16/2024,12/06/2024,Temu.com,Shopping,Return,23.54,
12/03/2024,12/05/2024,SAFEWAY #0919,Groceries,Sale,-5.49,
12/03/2024,12/04/2024,WF* WAYFAIR4269365907,Home,Return,72.00,
11/30/2024,12/02/2024,PARTY CITY 546,Shopping,Sale,-29.53,
11/29/2024,12/01/2024,SAFEWAY #0919,Groceries,Sale,-7.98,
11/30/2024,12/01/2024,INDIA CASH &amp; CARRY,Groceries,Sale,-57.91,
11/29/2024,12/01/2024,ROSS STORES #1432,Shopping,Sale,-8.74,
11/29/2024,12/01/2024,COSTCO WHSE #0470,Shopping,Sale,-29.18,
11/29/2024,12/01/2024,THE HOME DEPOT #6635,Home,Sale,-186.68,
11/29/2024,12/01/2024,SARATOGA HARDWARE,Home,Sale,-27.47,
11/30/2024,12/01/2024,Amazon.com,Shopping,Return,16.00,
11/30/2024,12/01/2024,Amazon.com,Shopping,Return,16.00,
11/29/2024,12/01/2024,KAISER PHARM #02453,Health & Wellness,Sale,-11.32,
11/30/2024,12/01/2024,Amazon.com,Shopping,Return,18.00,
11/29/2024,12/01/2024,SAFEWAY #0919,Groceries,Sale,-17.97,
11/29/2024,12/01/2024,AMAZON MKTPL*Z39GO2S72,Shopping,Sale,-23.53,
11/27/2024,11/28/2024,Amazon.com*Z34PH3ML0,Shopping,Sale,-145.41,
11/27/2024,11/28/2024,THE MYSTERY SPOT,Entertainment,Sale,-5.00,
11/26/2024,11/27/2024,AMAZON MKTPL*YX9IN4MA3,Shopping,Sale,-23.76,
11/26/2024,11/27/2024,AMAZON MKTPL*VF8Z70XH3,Shopping,Sale,-26.18,
11/26/2024,11/27/2024,AMAZON MKTPL*6Y9JD74X3,Shopping,Sale,-6.54,
11/26/2024,11/27/2024,AMAZON MKTPL*Z37YK3ZO2,Shopping,Sale,-60.22,
11/25/2024,11/26/2024,AMAZON MKTPL*Z35LH3ZW0,Shopping,Sale,-19.51,
11/25/2024,11/26/2024,AMAZON MKTPL*MV7C43J53,Shopping,Sale,-60.01,
11/24/2024,11/26/2024,TST*ANJAPPAR SANTA CLARA,Food & Drink,Sale,-75.68,
11/24/2024,11/25/2024,COSTCO GAS #0423,Gas,Sale,-17.75,
11/22/2024,11/24/2024,APNI MANDI FARMERS MAR,Groceries,Sale,-29.02,
